City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,vuktyl,63.8567,57.3094,9.95,94,35,2.92,RU,1724279635
338,sao tome,0.3365,6.7273,24.4,85,68,2.79,ST,1724279636
339,kroya,-7.6331,109.2461,21.7,92,100,1.27,ID,1724279637
340,tsiombe,-25.3,45.4833,18.91,54,0,4.65,MG,1724279639
341,svencioneliai,55.1667,26.0,17.12,99,82,3.24,LT,1724279640
342,machali,-34.1833,-70.6667,8.6,61,75,0.51,CL,1724279527
343,dolores,-36.3132,-57.6792,10.21,99,100,2.42,AR,1724279642
344,puerto ayacucho,5.6639,-67.6236,27.53,75,6,1.98,VE,1724279644
345,skikda,36.8762,6.9092,23.64,74,99,2.19,DZ,1724279645
346,talnakh,69.4865,88.3972,13.11,75,99,2.54,RU,1724279646
347,lautoka,-17.6167,177.4667,27.92,54,20,1.54,FJ,1724279647
348,jumla,29.2747,82.1838,14.75,97,100,0.37,NP,1724279648
349,nyandoma,61.669,40.1991,10.09,83,6,1.7,RU,1724279650
350,usogorsk,63.4106,48.6872,10.67,88,58,1.01,RU,1724279651
351,remire-montjoly,4.9167,-52.2667,28.02,83,20,3.6,GF,1724279652
352,ponte nova,-20.4164,-42.9086,21.3,41,0,1.33,BR,1724279653
353,arauquita,7.0292,-71.4281,26.65,78,100,0.86,CO,1724279655
354,pulaski,34.7668,-92.3001,30.11,44,0,5.36,US,1724279656
355,ancient oaks,40.5473,-75.5893,19.98,69,75,4.12,US,1724279657
356,cherdakly,54.3594,48.845,12.97,88,0,2.0,RU,1724279658
357,muisne,0.6,-80.0333,23.9,81,72,4.41,EC,1724279660
358,formosa do rio preto,-11.0483,-45.1931,26.12,29,2,1.79,BR,1724279661
359,grand falls-windsor,48.9332,-55.6649,13.61,92,100,0.89,CA,1724279662
360,port alfred,-33.5906,26.891,13.43,64,48,4.47,ZA,1724279663
361,yuzhno-kurilsk,44.0306,145.8556,18.83,84,100,5.57,RU,1724279664
